PSMILES,labels.Exp_Tg(K),meta.reliability
[*]/C=C(/[*])c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc(C#C)cc5)c(=O)c4cc3c2=O)cc1,693.15,black
[*]/C=C(/[*])c1ccccc1C(F)(F)F,403.15,black
[*]/C=C(/[*])c1ccccc1C[Si](C)(C)C,443.15,black
[*]/C=C(/[*])c1ccccc1[Ge](C)(C)C,453.15,black
[*]/C=C(/[*])c1ccccc1[Si](C)(C)C,463.15,black
[*]/C=C/[*],269.15,black
[*]=C(C#CC(=[*])COS(=O)(=O)c1ccc(C)cc1)COS(=O)(=O)c1ccc(C)cc1,200.15,black
[*]=C(C#N)N1C(=O)c2ccc(C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(C(=[*])C#N)C5=O)cc3)cc2C1=O,522.15,black
[*]=C(C#N)NC(=O)c1ccc(C(=O)NC(=[*])C#N)cc1,505.15,black
[*]=C(C#N)c1ccc(C(=O)OC2CCN(C(=[*])c3ccc(OC)cc3)CC2)cc1,456.15,black
[*]=C(C#N)c1ccc(C(=O)OCC2CCCN(C(=[*])c3ccc(OC)cc3)C2)cc1,449.15,black
[*]=C(C#N)c1ccc(C(=O)OCCC2CCN(C(=[*])c3ccc(OC)cc3)CC2)cc1,440.15,black
[*]=C(C#N)n1c(=O)c2cc3c(=O)n(C(=[*])C#N)c(=O)c3cc2c1=O,483.15,black
[*]=C(C)CCC(=[*])C,277.15,black
[*]=C(CCC(=[*])c1ccccc1)c1ccccc1,393.65,black
[*]=C(Cl)CC(F)(F)C(=[*])F,256.15,black
[*]=C(F)C(F)(F)C(F)(C(=[*])F)C(F)(F)F,270.15,black
[*]=C(F)C(F)(F)ON(C(F)(F)F)C(F)(F)C(=[*])F,266.15,black
[*]=C(OC)c1ccc(C(=[*])OC)s1,364.15,black
[*]=C([2H])C([2H])([2H])C([2H])([2H])C(=[*])C([2H])([2H])[2H],215.15,black
[*]=C(c1ccc(Oc2ccccc2)cc1)c1ccc(C(=[*])c2ccc(Oc3ccccc3)cc2)cc1,436.15,black
[*]=C1C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(-c4ccc(-c5ccc6c(c5)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C6=[*])s4)s3)ccc21,338.15,black
[*]=CC(=O)NCCCCCCCCCCNC(=O)C(=[*])C,347.15,black
[*]=CC(=O)NCCCCCCNC(=O)C(=[*])C,367.15,black
[*]=CC(=O)NCc1cccc(CNC(=O)C(=[*])C)c1,408.15,black
[*]=CC(C)CC(=[*])C,275.45,black
[*]=CC(C)S(=O)(=O)CC(=[*])C,356.15,black
[*]=CC1CC(C=[*])C2C3CCC(C3)C12,480.55,black
[*]=CC1CCC(C=[*])C1,304.15,black
[*]=CCC(F)(F)C(=[*])F,238.15,black
[*]=CCCC(=[*])C(C)(C)C,293.15,black
[*]=CCCC(=[*])C(C)C,226.15,black
[*]=CCCC(=[*])CCCCCCC,190.15,black
[*]=CCCC(=[*])CCCCCCCCCC,220.15,black
[*]=CCCC(=[*])[Sn](CCCC)(CCCC)CCCC,193.15,black
[*]=CCCC(=[*])c1ccccc1,312.65,black
[*]=CCCCC(=[*])c1ccc(Cl)cc1,289.15,black
[*]=CCCCC(=[*])c1ccc(OC)cc1,284.15,black
[*]=CCCCC(=[*])c1ccccc1,273.15,black
[*]=CCCCCCCC=[*],195.15,black
[*]=CCCCCCCCCCCC=[*],220.15,black
[*]=CCS(=O)(=O)C(C)C(=[*])C,346.15,black
[*]=CCS(=O)(=O)CC(=[*])C,361.35,black
[*]=Cc1cc(OC)c(/C=C(\c2ccc(OC)cc2)c2ccc(C(=[*])c3ccc(OC)cc3)cc2)cc1OC,443.15,black
[*]=Cc1ccc(/C=C(\c2ccccc2)c2ccc(-c3ccc(C(=[*])c4ccccc4)cc3)cc2)cc1,493.15,black
[*]=Cc1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(/C=C/c5ccc(/C=C(\C#N)C(=O)NC6CCCCC6NC(=O)C(=[*])C#N)s5)cc4)cc3)cc2)s1,513.15,black
[*]=Cc1ccc(/C=C/c2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(/C=C/c5ccc(/C=C(\C#N)c6cccc(C(=[*])C#N)c6)s5)cc4)cc3)cc2)s1,451.15,black
[*]=Cc1ccc(C(=[*])c2ccc(C(F)(F)F)cc2)cc1,472.15,black
[*]=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccc(N(c4ccccc4)c4ccc(C=Cc5ccc(C=C(C#N)C(=O)Nc6cc(-c7ccc(O)c(NC(=O)C(=[*])C#N)c7)ccc6O)s5)cc4)cc3)cc2)s1,494.15,black
[*]=Cc1ccc(N(c2ccccc2)c2ccc(C=C(c3ccc(OC)cc3)c3ccc(C(=[*])c4ccc(OC)cc4)cc3)cc2)cc1,470.15,black
[*]=Cc1ccc(N(c2ccccc2)c2ccc(N(c3ccccc3)c3ccc(/C=C(\C#N)C(=O)NC4CCCCC4NC(=O)C(=[*])C#N)cc3)cc2)cc1,512.15,black
[*]=Cc1ccc(OCC(O)COC(=O)CCCCC(=O)OCC(O)COc2ccc(C(=[*])C)cc2)cc1,306.15,black
[*]=Cc1ccc(OCC(O)COC(=O)CCCCCCCCC(=O)OCC(O)COc2ccc(C(=[*])C)cc2)cc1,303.15,black
[*]=Cc1ccc(OCCCCCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,358.15,black
[*]=Cc1ccc(OCCCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,363.15,black
[*]=Cc1ccc(OCCCCCCOc2ccc(/C=C3\CCCC(=[*])C3=O)cc2)cc1,389.15,black
[*]=Cc1ccc(OCCOCCOCCOCCOCCOc2ccc(C(=[*])C)cc2)cc1,290.15,black
[*]=Cc1ccc(OCCOCCOCCOCCOc2ccc(C(=[*])C)cc2)cc1,280.65,black
[*]=Cc1ccc(OCCOCCOCCOc2ccc(C(=[*])C)cc2)cc1,289.15,black
[*]=Cc1ccc(OCCOCCOc2ccc(C(=[*])C)cc2)cc1,312.15,black
[*]=Cc1ccc(Oc2ccc(-c3nnc(-c4ccc(Oc5ccc(C=[*])cc5)cc4)o3)cc2)cc1,488.15,black
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCC(=[*])C5=O)cc4)cc3)cc2)cc1,508.15,black
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCCC(=[*])C5=O)cc4)cc3)cc2)cc1,463.15,black
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(/C=C5\CCCCC(=[*])C5=O)cc4)cc3)cc2)cc1,459.15,black
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCC(=[*])C%10=O)cc9)cc8)cc7)cc6)CCCC5)cc4)cc3)cc2)cc1,513.15,black
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCCC(=[*])C%10=O)cc9)cc8)cc7)cc6)CCCCC5)cc4)cc3)cc2)cc1,463.15,black
[*]=Cc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C5(c6ccc(Oc7ccc(S(=O)(=O)c8ccc(Oc9ccc(/C=C%10\CCCCC(=[*])C%10=O)cc9)cc8)cc7)cc6)CCCCCC5)cc4)cc3)cc2)cc1,469.15,black
[*]=Cc1ccc2c(c1)c1cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc1n2CCCCCCCCCCCOc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1,360.15,black
[*]=Cc1ccc2c(c1)c1cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc1n2CCCCCCCCCCCn1c2ccccc2c2ccccc21,336.15,black
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,367.65,black
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,369.55,black
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,369.85,black
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,380.95,black
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCCCn1c2ccccc2c2cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc21,390.85,black
[*]=Cc1ccc2c(c1)c1ccccc1n2CCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)OCCCCn3c4ccccc4c4cc(/C=C(\C#N)C(=O)OCCCCCCOC(=O)C(=[*])C#N)ccc43)cc2)cc1,395.15,black
[*]=NCCCCCCCCCCNC(=[*])C,353.15,black
[*]=NCCCCCCCCCCNC(=[*])c1ccccc1,283.15,black
[*]=NP(=NP(=NC(=[*])Oc1ccc(Br)cc1)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1,318.15,black
[*]=NP(=NP(=NC(=[*])Oc1ccc(C(=O)OC)cc1)(Oc1ccc(C(=O)OC)cc1)Oc1ccc(C(=O)OC)cc1)(Oc1ccc(C(=O)OC)cc1)Oc1ccc(C(=O)OC)cc1,325.15,black
[*]=NP(=NP(=NC(=[*])Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1,347.15,black
[*]=NP(=NP(=NC(=[*])Oc1ccc(C(C)(C)c2ccccc2)cc1)(Oc1ccc(C(C)(C)c2ccccc2)cc1)Oc1ccc(C(C)(C)c2ccccc2)cc1)(Oc1ccc(C(C)(C)c2ccccc2)cc1)Oc1ccc(C(C)(C)c2ccccc2)cc1,328.15,black
[*]=NP(=NP(=NC(=[*])Oc1ccc(C(F)(F)F)cc1)(Oc1ccc(C(F)(F)F)cc1)Oc1ccc(C(F)(F)F)cc1)(Oc1ccc(C(F)(F)F)cc1)Oc1ccc(C(F)(F)F)cc1,304.15,black
[*]=NP(=NP(=NC(=[*])Oc1ccc(OC)cc1)(Oc1ccc(OC)cc1)Oc1ccc(OC)cc1)(Oc1ccc(OC)cc1)Oc1ccc(OC)cc1,310.15,black
[*]=NP(=NP(=NC(=[*])Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,291.15,black
[*]=NP(=NP(=NC(=[*])Oc1ccccc1C(F)(F)F)(Oc1ccccc1C(F)(F)F)Oc1ccccc1C(F)(F)F)(Oc1ccccc1C(F)(F)F)Oc1ccccc1C(F)(F)F,253.15,black
[*]=NP(=NP(=NS(=[*])(=O)Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1,355.15,black
[*]=NP(=NP(=NS(=[*])Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,342.15,black
[*]=NP(=NP(=NS(=[*])Oc1ccc(C(C)(C)C)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1)(Oc1ccc(-c2ccccc2)cc1)Oc1ccc(-c2ccccc2)cc1,327.15,black
[*]=NP(=NS(=O)(=NP(=[*])(NC)NC)NC)(NC)NC,295.15,black
[*]=NP(=NS(=O)(=NP(=[*])(NCC)NCC)NCC)(NCC)NCC,277.15,black
[*]=NP(=NS(=O)(=NP(=[*])(NCC=C)NCC=C)NCC=C)(NCC=C)NCC=C,255.15,black
[*]=NP(=NS(=O)(=NP(=[*])(NCCC)NCCC)NCCC)(NCCC)NCCC,279.15,black
[*]=NP(=NS(=O)(=NP(=[*])(NCCCC)NCCCC)NCCCC)(NCCCC)NCCCC,257.15,black
[*]=NP(=NS(=O)(=NP(=[*])(NCCCCCC)NCCCCCC)NCCCCCC)(NCCCCCC)NCCCCCC,255.15,black
[*]=NP(Cl)(Cl)=NP(Cl)(Cl)=NC(=[*])Cl,252.15,black
[*]=NP(Cl)(Cl)=NP(Cl)(Cl)=NS(=[*])(=O)F,217.15,black
[*]=NP(Cl)(Cl)=NP(Cl)(Cl)=NS(=[*])Cl,233.15,black
[*]=NS(=NP(=NP(=[*])(Cl)Oc1cccc(-c2ccccc2)c1)(Oc1cccc(-c2ccccc2)c1)Oc1cccc(-c2ccccc2)c1)Oc1cccc(-c2ccccc2)c1,305.15,black
[*]=NS(=NP(Cl)(=NP(=[*])(Cl)Oc1ccccc1-c1ccccc1)Oc1ccccc1-c1ccccc1)Oc1ccccc1-c1ccccc1,352.15,black
[*]=Nc1ccc(/N=C(\C)c2ccc(Oc3ccc(C(C)(C)c4ccc(Oc5ccc(C(=[*])C)cc5)cc4)cc3)cc2)cc1,434.15,black
[*]=Nc1ccc(/N=C(\C)c2ccc(Oc3ccc(C(c4ccccc4)(c4ccccc4)c4ccc(Oc5ccc(C(=[*])C)cc5)cc4)cc3)cc2)cc1,451.15,black
[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(C(=[*])c3ccccc3)cc2)cc1,452.15,black
[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(-c4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4)cc3)cc2)cc1,468.15,black
[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(C(c4ccccc4)(c4ccccc4)c4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4)cc3)cc2)cc1,471.15,black
[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc(Oc4ccc(C(=[*])c5ccccc5)cc4)cc3)cc2)cc1,449.15,black
[*]=Nc1ccc(/N=C(\c2ccccc2)c2ccc(Oc3ccc4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4c3)cc2)cc1,444.15,black
[*]=Nc1ccc(Cc2ccc(NC(=[*])C)cc2)cc1,415.15,black
[*]=Nc1ccc(Cc2ccc(NC(=[*])CC)cc2)cc1,403.15,black
[*]=Nc1ccc(Cc2ccc(NC(=[*])CCC)cc2)cc1,383.15,black
[*]=Nc1ccc(Cc2ccc(NC(=[*])CCCC)cc2)cc1,379.15,black
[*]=Nc1ccc(Cc2ccc(NC(=[*])c3ccccc3)cc2)cc1,431.15,black
[*]=Nc1ccc(N=C(C=CC(=[*])c2ccccc2)c2ccccc2)cc1,430.15,black
[*]=Nc1ccc(Oc2ccc(/N=C(\C)c3ccc(Oc4ccc(C(C)(C)c5ccc(Oc6ccc(C(=[*])C)cc6)cc5)cc4)cc3)cc2)cc1,414.15,black
[*]=Nc1ccc(Oc2ccc(/N=C(\C)c3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc(Oc6ccc(C(=[*])C)cc6)cc5)cc4)cc3)cc2)cc1,423.15,black
[*]=Nc1ccc(Oc2ccc(/N=C(\c3ccccc3)c3ccc(Oc4ccc(C(c5ccccc5)(c5ccccc5)c5ccc(Oc6ccc(C(=[*])c7ccccc7)cc6)cc5)cc4)cc3)cc2)cc1,450.15,black
[*]=Nc1ccc(Oc2ccc(/N=C(\c3ccccc3)c3ccc(Oc4ccc5ccc(Oc6ccc(C(=[*])c7ccccc7)cc6)cc5c4)cc3)cc2)cc1,438.15,black
[*]=Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(/N=C5/OC(=O)c6ccc(C(=O)c7ccc8c(c7)C(=[*])OC8=O)cc65)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,521.15,black
[*]=Nc1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N=C5OC(=O)c6cc7c(cc65)C(=[*])OC7=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,560.15,black
[*]=Nc1ccc(Oc2ccc(N=C(c3ccccc3)c3ccc(Oc4ccc(-c5ccc(Oc6ccc(C(=[*])c7ccccc7)cc6)cc5)cc4)cc3)cc2)cc1,447.15,black
[*]=Nc1ccc(Oc2ccc(N=C(c3ccccc3)c3ccc(Oc4ccc(Oc5ccc(C(=[*])c6ccccc6)cc5)cc4)cc3)cc2)cc1,435.15,black
[*]=Nc1ccc(Oc2cccc(N=C3OC(=O)c4ccc(C(=O)c5ccc6c(c5)C(=[*])OC6=O)cc43)c2)cc1,526.15,black
[*]=Nc1cccc(/N=C(/C=C/C(=[*])c2ccccc2)c2ccccc2)c1,451.15,black
[*]=Nc1cccc(/N=C(\c2ccccc2)c2ccc(C(=[*])c3ccccc3)cc2)c1,452.15,black
[*]=Nc1cccc(Oc2cccc(Oc3cccc(N=C4OC(=O)c5ccc(C(=O)c6ccc7c(c6)C(=[*])OC7=O)cc54)c3)c2)c1,463.15,black
[*]=Nc1cccc(S(=O)(=O)c2cccc(/N=C3/OC(=O)c4ccc(Oc5ccc6c(c5)C(=O)OC6=[*])cc43)c2)c1,463.15,black
[*]C#CC#CC(C)OC(=O)c1ccc(C(=O)OC([*])C)cc1,406.15,black
[*]C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc([*])c3n(CCCCCCCCCCCCCCCC)c12,340.15,black
[*]C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,260.55,black
[*]C#C[Si](C)(C)C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,257.05,black
[*]C#C[Si](C)(C)C#C[Si](C)(C)O[Si](C)(C)C#C[Si](C)(C)C#C[Si]([*])(C)C,250.15,black
[*]C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc([*])c3n(CCCCCCCCCCCCCCCC)c12,353.15,black
[*]C#Cc1ccc(-c2nnc(-c3ccc(C#Cc4cc(OCCCCCCCC)c([*])cc4OCCCCCCCC)cc3)o2)cc1,403.15,black
[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,351.15,black
[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,357.15,black
[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,369.15,black
[*]C#Cc1ccc(C#C[Si](C)(C)O[Si](C)(C)O[Si]([*])(C)C)cc1,377.15,black
[*]C#Cc1ccc(C#C[Si](C)(C)O[Si]([*])(C)C)cc1,399.15,black
[*]C#Cc1cccc(C#C[SiH]([*])C)c1,345.15,black
[*]C#Cc1cccc(C#C[Si]([*])(C)C)c1,323.15,black
[*]C(=C(Cl)Cl)c1ccc(OCOc2ccc([*])cc2)cc1,381.15,black
[*]C(=C)c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc([*])cc4)cc3)cc2)cc1,440.15,black
[*]C(=Nc1ccccc1)c1ccc(-c2ccc([*])cc2)cc1,498.15,black
[*]C(=Nc1ccccc1)c1ccc(Oc2ccc(Oc3cccc(Oc4ccc(Oc5ccc([*])cc5)cc4)n3)cc2)cc1,408.15,black
[*]C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)N(CCCCCCN([*])CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,460.65,black
[*]C(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)N(CCCCCCN([*])CC(F)(F)C(F)(F)F)CC(F)(F)C(F)(F)F,447.15,black
[*]C(=O)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)N([*])[Li])C(F)(F)F,340.15,black
[*]C(=O)CCCCCCCCC(=O)N1CC(C)N([*])CC1C,212.65,black
[*]C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc([*])cc2)cc1)c1ccc(Oc2ccccc2)cc1,351.15,black
[*]C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc([*])cc2)cc1)c1cccc2ccccc12,329.15,black
[*]C(=O)N(C(=O)c1ccc(OCCCCCCOc2ccc([*])cc2)cc1)c1ccccc1,373.15,black
[*]C(=O)N(C(=O)c1ccc([*])cc1)c1ccccc1,452.15,black
[*]C(=O)N(C(=O)c1ccc([*])cc1Sc1ccccc1)c1ccccc1,425.15,black
[*]C(=O)N(C(=O)c1cccc([*])c1)c1ccccc1,421.15,black
[*]C(=O)N1CCN(C(=O)c2cccc([*])c2)CC1,487.65,black
[*]C(=O)N1CCN(C(=O)c2ccccc2-c2ccccc2[*])CC1,466.15,black
[*]C(=O)NC(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)NC(=O)c3cc([*])cc(C(C)(C)C)c3)cc2)cc1,396.65,black
[*]C(=O)NC(=O)Oc1ccc(Oc2ccc(OC(=O)NC(=O)c3cc([*])cc(C(C)(C)C)c3)cc2)cc1,387.65,black
[*]C(=O)NC1CC(C)(C)CC(C)(CNC(=O)c2cc([*])cc(NC(=O)C(C(C)CC)N3C(=O)c4ccccc4C3=O)c2)C1,401.15,black
[*]C(=O)NCC(C)(C)CNC(=O)c1c([*])ncn1C,425.15,black
[*]C(=O)NCC1CCC(CNC(=O)c2cc([*])cc(C(C)(C)C)c2)CC1,509.15,black
[*]C(=O)NCC1CCCC(CNC(=O)c2cc([*])cc(C(C)(C)C)c2)C1,473.15,black
[*]C(=O)NCCCCCCCCCCCCNC(=O)C(OC)C([*])OC,357.15,black
[*]C(=O)NCCCCCCCCCNC(=O)C(OC)C([*])OC,357.15,black
[*]C(=O)NCCCCCCCCNC(=O)C(OC)C([*])OC,362.15,black
[*]C(=O)NCCCCCCCNC(=O)C(OC)C([*])OC,360.15,black
[*]C(=O)NCCCCCCNC(=O)C(OC)C([*])OC,379.15,black
[*]C(=O)NCCCCCCNC(=O)c1c([*])ncn1C,359.15,black
[*]C(=O)NCCCCCCNC(=O)c1cc([*])cc(C(C)(C)C)c1,436.15,black
[*]C(=O)NCCCCCCNC(=O)c1cc([*])cc(NC(=O)C(C(C)CC)N2C(=O)c3ccccc3C2=O)c1,408.15,black
[*]C(=O)NCCCCCCNC(=O)c1cc([*])cc(NC(=O)c2ccc(NC(=O)C(CC(C)C)N3C(=O)c4ccccc4C3=O)cc2)c1,473.15,black
[*]C(=O)NCCCCCNC(=O)C(OC)C([*])OC,386.15,black
[*]C(=O)NCCCCNC(=O)C(OC)C([*])OC,373.15,black
[*]C(=O)NCCCNC(=O)C(OC)C([*])OC,396.15,black
[*]C(=O)NCCNC(=O)c1c([*])ncn1C,462.15,black
[*]C(=O)NCc1ccc(CNC(=O)c2cc([*])cc(C(C)(C)C)c2)cc1,477.15,black
[*]C(=O)NCc1cccc(CNC(=O)c2cc([*])cc(C(C)(C)C)c2)c1,465.15,black
[*]C(=O)NNC(=O)c1ccc([*])cc1OCC,513.15,black
[*]C(=O)NNC(=O)c1ccc([*])cc1OCCCCC,507.15,black
[*]C(=O)NNC(=O)c1ccc([*])cc1OCCCCCCCC,476.65,black
[*]C(=O)NNC(=O)c1ccc([*])cc1OCCCCCCCCCC,466.15,black
[*]C(=O)Nc1c(C)cc(-c2cc(C)c(NC(=O)c3ccc(C)c(N4C(=O)c5ccc(C(c6ccc7c(c6)C(=O)N(c6cc([*])ccc6C)C7=O)(C(F)(F)F)C(F)(F)F)cc5C4=O)c3)c(C)c2)cc1C,523.15,black
